Atividade_principal,Data_situacao,Nome,Uf,Telefone,Email,Atividades_secundarias,Qsa,Situacao,Bairro,Logradouro,Numero,Cep,Municipio,Abertura,Natureza_juridica,Fantasia,Cnpj,Ultima_atualizacao,Status,Tipo,Complemento,Efr,Motivo_situacao,Situacao_especial,Data_situacao_especial,Capital_social,Extra
Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente - 47.59-8-99 - ,28/08/2004,A PREFERIDA COMERCIAL LTDA - EPP,MG,(31) 3842-1314 / (31) 3842-4404,apreferida@uai.com.br,Comércio varejista de outros produtos não especificados anteriormente - 47.89-0-99 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente - 46.49-4-99 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo - 47.53-9-00 - Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico - 46.49-4-01 - Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico - 46.49-4-02 - Comércio atacadista de máquinas aparelhos e equipamentos para uso agropecuário; partes e peças - 46.61-3-00 - Hotéis - 55.10-8-01 - Aluguel de imóveis próprios - 68.10-2-02 - ,49-Sócio-Administrador - RICARDO MAGALHAES GASPAR - 22-Sócio - RENATO MAGALHAES GASPAR - 22-Sócio - LUCY MAGALHAES GASPAR - 22-Sócio - LUCIANE MAGALHAES GASPAR - 49-Sócio-Administrador - MARIA INES MAGALHAES GASPAR - ,ATIVA,CENTRO,R PEDRO NOLASCO,399,35.170-300,CORONEL FABRICIANO,12/09/1966,206-2 - Sociedade Empresária Limitada,A PREFERIDA,19.861.350/0001-70,2017-12-26T08:59:46.428Z,OK,MATRIZ,,,,,,438796.00,
Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente - 47.59-8-99 - ,04/10/2003,A PREFERIDA COMERCIAL LTDA - EPP,MG,(31) 3842-4404,Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico - 46.49-4-01 - Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico - 46.49-4-02 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente - 46.49-4-99 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo - 47.53-9-00 - Comércio varejista de outros produtos não especificados anteriormente - 47.89-0-99 - ,ATIVA,CENTRO,R BELO HORIZONTE,320,35.160-034,IPATINGA,22/07/1992,206-2 - Sociedade Empresária Limitada,A PREFERIDA,19.861.350/0004-13,2017-11-26T07:57:13.586Z,OK,FILIAL,,,,,,,0.00,,
Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente - 47.59-8-99 - ,04/10/2003,A PREFERIDA COMERCIAL LTDA - EPP,MG,(31) 3849-1314 / (31) 3842-1314,apreferida@uai.com.br,Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico - 46.49-4-01 - Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico - 46.49-4-02 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente - 46.49-4-99 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo - 47.53-9-00 - Comércio varejista de outros produtos não especificados anteriormente - 47.89-0-99 - ,ATIVA,CENTRO,R VINTE E UM DE ABRIL,55,35.180-026,TIMOTEO,12/09/1966,206-2 - Sociedade Empresária Limitada,A PREFERIDA,19.861.350/0002-51,2017-12-26T08:59:30.728Z,OK,FILIAL,,,,,,0.00,,
Hotéis - 55.10-8-01 - ,04/10/2003,A PREFERIDA COMERCIAL LTDA - EPP,MG,(31) 3842-4404,ATIVA,CENTRO,R PEDRO NOLASCO,399,35.170-300,CORONEL FABRICIANO,07/05/1976,206-2 - Sociedade Empresária Limitada,HOTEL GASPAR,19.861.350/0003-32,2017-12-15T23:29:59.541Z,OK,FILIAL,,,,,,,00.00-0-00 - Não informada - ,0.00,,
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente - 29.49-2-99 - ,20/06/2006,A&R DO BRASIL ACESSORIOS AUTOMOTIVOS LTDA,MG,(31) 2104-5400,adler@gold.com.br,Comércio por atacado de peças e acessórios novos para veículos automotores - 45.30-7-01 - ,49-Sócio-Administrador - ELIA RINALDI - 22-Sócio - 05-Administrador - ELIA RINALDI - ADLER PTI S.A. - 05-Administrador - CARLOS ALBERTO STANIGHER - ,ATIVA,PIRATININGA,ROD RENATO AZEREDO,1050,32.400-000,IBIRITE,20/06/2006,206-2 - Sociedade Empresária Limitada,08.145.915/0001-05,2017-11-28T21:54:40.450Z,OK,MATRIZ,,,,,,,10000.00,
Comércio varejista de materiais hidráulicos - 47.44-0-03 - ,23/10/2004,A.W.A. EQUIPAMENTOS HIDRAULICOS LTDA.,MG,Manutenção e reparação de equipamentos hidráulicos e pneumáticos exceto válvulas - 33.14-7-02 - Representantes comerciais e agentes do comércio de máquinas equipamentos embarcações e aeronaves - 46.14-1-00 - Comércio varejista de material elétrico - 47.42-3-00 - ,49-Sócio-Administrador - WILLIAM FERNANDES SILVA - 49-Sócio-Administrador - ALEXANDRE DE SOUZA FLORES - ,ATIVA,SANTO ANDRE,R BAEPENDI,213,31.210-500,BELO HORIZONTE,08/03/2004,206-2 - Sociedade Empresária Limitada,06.130.273/0001-37,2017-11-26T18:29:37.588Z,OK,MATRIZ,,,,,,,,,0.00,
Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados - 47.11-3-02 - ,03/11/2005,ABC COMERCIO LTDA,MG,Comércio varejista de gás liqüefeito de petróleo (GLP) - 47.84-9-00 - Transporte rodoviário de carga exceto produtos perigosos e mudanças intermunicipal interestadual e internacional - 49.30-2-02 - ,49-Sócio-Administrador - ANDRE LAGE DE ARAUJO - 22-Sócio - CELESTINO DE ARAUJO - 22-Sócio - MARINHA LAGE DE ARAUJO - 22-Sócio - ANA MARIA LAGE DE ARAUJO - 22-Sócio - JULIANA LAGE DE ARAUJO - 22-Sócio - IVAN LAGE DE ARAUJO - 22-Sócio - RODRIGO LAGE DE ARAUJO - ,ATIVA,CENTRO,PC DO EXPEDICIONARIO,36,35.920-000,NOVA ERA,14/10/1974,206-2 - Sociedade Empresária Limitada,18.310.979/0001-60,2017-12-15T23:48:19.466Z,OK,MATRIZ,,,,,,,,,90000.00,
Transporte rodoviário de produtos perigosos - 49.30-2-03 - ,28/08/1999,: KM 0; : TVO ANEL ROD SUL; SALA: 201;,ABRANTES & ALEM LIMITADA,MG,(38) 4009-1414,doc@jjcontab.com.br,Transporte rodoviário de carga exceto produtos perigosos e mudanças municipal - 49.30-2-01 - Transporte rodoviário de carga exceto produtos perigosos e mudanças intermunicipal interestadual e internacional - 49.30-2-02 - Locação de automóveis sem condutor - 77.11-0-00 - ,49-Sócio-Administrador - MANUEL MARTINS ABRANTES - 22-Sócio - MARIA CELINA DIAS DO ALEM ABRANTES - ,ATIVA,MAJOR PRATES,ROD BR-365,267,39.403-203,MONTES CLAROS,06/05/1993,206-2 - Sociedade Empresária Limitada,TRANSPORTES ABRANTES,71.038.996/0001-72,2018-01-03T19:28:51.641Z,OK,MATRIZ,,,,,10000.00,
Comércio varejista de tintas e materiais para pintura - 47.41-5-00 - ,04/10/2003,LOJA 252 E 256,ABRASIVOS JUIZ DE FORA LTDA,MG,(32) 3215-7209 / (32) 3239-8530,abrasivosjf@gmail.com,Comércio varejista de materiais de construção em geral - 47.44-0-99 - ,49-Sócio-Administrador - RONALDO MUSSEL DA SILVA - 22-Sócio - CLAUDIA CORTES D ASSUNCAO MUSSEL - ,ATIVA,CENTRO,R FLORIANO PEIXOTO,246,36.013-080,JUIZ DE FORA,12/09/1975,206-2 - Sociedade Empresária Limitada,19.002.831/0001-20,2017-12-15T23:23:35.445Z,OK,MATRIZ,,,,,,120000.00,
Atividades de consultoria em gestão empresarial exceto consultoria técnica específica - 70.20-4-00 - ,24/09/2005,AC CONSULTORIA EMPRESARIAL EIRELI,MG,(31) 3311-4800 / (31) 3311-4840,contagemg@terra.com.br,65-Titular Pessoa Física Residente ou Domiciliado no Brasil - ALDAIR CAMARA - ,ATIVA,OURO VELHO,AL DAS AMENDOEIRAS,293,34.000-000,NOVA LIMA,09/11/1990,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),64.336.498/0001-40,2017-11-27T00:54:26.277Z,OK,MATRIZ,,,,,,,00.00-0-00 - Não informada - ,73000.00,
